primarily,"ad. 主要地,首先地,基本地"
powwow,"n. 仪式,巫师,医师vi. 举行仪式,商谈"
precisely,"adv. 1 精密地,正确地2 一丝不苟地3正是如此"
prescribe,"v. 规定,命令,开处方,嘱咐,指示"
pretension,"n. 自负,骄傲,主张"
prolific,"a. 生子的,结果实的,多产的,丰富的"
publicity,"n. 公开,名声,宣传"
putt,vt. 击球入洞vi. 击高尔夫球n. 轻轻一击
realization,"n. 实现,领悟,实得"
reclusive,"a. 隐遁的,隐居的"
recording,"a. 记录的,记录用的n. 录音"
reflective,"a. 反射的,反映的,熟虑的"
refuge,"n. 避难所,避难,庇护vi.躲避vt庇护"
relieve,"vt. 减轻,救济,解除,使免除"
socially,"ad. 在社会上,在社交上,亲切地"
societal,a. 社会的
solemn,"a. 严肃的,郑重的,庄严的"
solitary,"n. 独居者a. 孤独的,独居的"
solitude,"n. 孤独,单独,孤寂"
specifically,"ad. 特定的,明确的"
spectroscope,n. 分光镜
steadily,"ad. 稳定地,无变化地,有规则地"
stylistic,"a. 格式上的,体裁上的"
subsequent,"a. 后来的,并发的"
substance,"n. 物质,实质,主旨,牢固,本质,资产"
subtlety,"n. 微妙,精明"
summon,"vt. 召唤,召集,号召,鼓起,唤起"
supplant,"vt. 排挤掉,代替"
tactic,"n. 战略,策略a. 顺序的,排列的"
temper,"n. 脾气,心情,回火,趋向,调剂vt.锻炼,调剂,"
temperament,"n. 气质,性质,性情"
theatrical,"a. 剧场的,夸张的,戏剧性的n.戏剧演出"
thrive,"vi. 繁荣,兴旺,茁壮成长"
tide,"n. 潮,潮汐,趋势,高潮,涨潮,潮流"
ties,"n. 结v. 绑,连接"
defiant,"a. 挑衅的,目中无人的"
emphatic,"a. 语调强的,用力的,强调了的"
empirical,"a. 完全根据经验的,经验主义的"
epitomize,"vt. 摘要,概括"
exert,"vt. 发挥,运用,施以影响"
garish,"a. 炫耀的,过分装饰的"
hedonist,"n. 快乐主义者,享乐主义者"
implausible,"a. 难信的,不像真实的"
incorporate,"a. 合并的,一体化的vt.合并vi.合并,混合"
insistent,"a. 坚持的,迫切的,显著的"
lighthearted,"adj. 轻松的,快活的,爽朗的,兴高采烈的 "
predominant,"a. 优越的,卓越的,有力的"
remorseful,"a. 极为后悔的,懊悔的"
repetitive,"a. 重复的,反复性的"
resilience,"n. 弹回,有弹力,恢复力"
rotate,"a. 轮状的vt. 使旋转,使转动,轮作vi. 旋转,循环"
villain,"n. 坏人,恶根"
,
,
,
,
audition,"n. 听,听力,试听"
austere,"a. 严峻的,简朴的"
autobiographical,"a. 自传的,自传体的"
backhoe,n.  (有伸缩挖掘装置的) 锄耕机
barnstorm,"v. 在全国巡回演出,在乡区作演说旅行"
boast,"n. 吹牛vi. 吹牛,自夸vt. 夸口说,自恃有"
bulk,"n. 大小,体积,大批,大多数vt.显得大,显得重要,"
bygone,"n. 过去的事,往事a. 过去的"
cache,"n. 隐藏所,贮藏物vt.隐藏,窖藏"
catastrophic,"a. 悲惨的,灾难的"
cavity,"n. 洞,空穴,腔"
cello,n. 大提琴
censure,"n. 责难vt. 非难,指责"
certify,"v. 证明,保证"
civilize,"vt. 使开化,使文明vi. 变文明"
clash,"n. 冲突,撞击声,抵触vi. 冲突,抵触"
coalition,"n. 结合,合并,联合"
coeducational,adj. 男女合校的
coin-operated,"adj. <机器>投入硬币即发生作用的,投币式的"
collapse,"n. 崩溃,倒塌,虚脱vi. 倒塌,崩溃,瓦解vt.使倒塌"
colonialism,n. 殖民主义
deplore,"vt. 悲悼,哀叹,悔恨"
derivative,"a. 引出的,系出的n. 引出之物 ,衍生字"
descriptive,"a. 描述的,叙述的"
devoid,"a. 全无的,缺乏的"
didactic,"adj. 1 教训的,教诲的;说教的2 好教诲的"
differentiate,"v. 区别,区分"
dilettante,"n. 业余爱好者a. 外行的,浅薄的"
dinosaur,n. 恐龙
diplomatic,"a. 外交的,老练的"
disbelief,"n. 不信仰,不信,怀疑"
discrepancy,"n. 相差,差异,差别"
dismissive,a. 表示轻视的
dispel,"vt. 驱散,驱逐"
dissent,"n. 异议vi. 持异议,不同意"
diversion,n. 转移
documentary,n. 纪录片a. 文件的
donation,"n. 捐赠物,捐款,捐赠"
dough,n. 生面团；[美俚]金钱
drift,"n. 漂流物,观望,漂流v. (使)漂流"
elude,"vt. 逃避,规避,使困惑"
embankment,"n. 堤防,筑堤"
geographical,"a. 地理学的,地理的"
gigantic,"a. 巨人般的,巨大的"
gossip,"n. 闲聊,随笔,流言,爱讲闲话的人vi.说闲话"
gourmet,n. 美食家
grievance,"n. 委屈,冤情,苦况"
grunt,"vi. 作呼噜声vt. 咕哝n. 呼噜声,咕哝"
guideline,"n. 指导路线,方针,指标"
gum,"n. 树胶,橡皮,上帝,牙床vt.涂以树胶,使有粘性"
hackney,"n. 乘用马,出租马车,操贱役的人a. 出租的,陈腐的"
halt,"n. 停止,立定,休息vt. 使停止,使立定"
hardness,"n. 坚硬,困难,严厉,勇气"
hatred,"n. 憎恨,仇恨,憎恶"
heliograph,"n. 照相制版,太阳摄影机,日光仪"
heroism,"n. 英勇,勇敢的事迹,豪侠的行为"
horror,"n. 惊骇,恐怖,惨事"
humpback,"n. 驼背,座头鲸,小鲑鱼"
impressionable,"a. 易感的,敏感的,易受影响的"
inbred,"a. 天生的,生来的,同系繁殖的"
incentive,n. 动机a. 激励的
incomprehensible,"a. 不能理解,费解的,无限的"
inconsequential,"a. 不合逻辑的,不合理的,不重要的"
ludicrous,"a. 可笑的,滑稽的,荒唐的"
mandate,"n. 命令,指令,要求vt. 委任统治"
manufacturer,"n. 制造业者,厂商"
martial,"a. 军事的,尚武的,威武的"
mediocrity,"n. 平常,平庸之才"
mercury,"n. 水银,汞,使者,墨丘利神"
microscopic,"adj. 1 显微镜的2 显微镜的3 极微细的,极微的"
milkweed,n. 乳草属植物
mimic,"a. 模仿的,假装的,拟态的n.模仿者vt. 模仿"
monetary,"a. 货币的,金钱的"
mystical,"a. 神秘的,奥秘的"
mythology,n. 神话
naked,"a. 裸体的,无装饰的,无保护的,坦白的"
narration,"n. 叙述,故事,叙述文"
nickname,"n. 绰号,昵称vt. 给...取绰号,叫错名字"
notify,"vt. 通知,通告,报告"
obstinate,"a. 倔强的,顽固的"
obstruct,"vt. 阻隔,妨碍,阻塞vi. 设障碍"
offensive,"a. 令人不快的,侮辱的,攻击用的"
organic,"a. 器官的,有机的,组织的,根本的"
overnight,"n. 前晚a. 通宵的,晚上的,前夜的ad.整夜"
provincial,"n. 乡下人,地方人民a. 省的,地方的"
pumpkin,n. 南瓜
purist,n. 纯化论者
puzzlement,n. 迷惑
querulous,"a. 鸣不平的,发牢骚的,易怒的"
raid,"n. 袭击,突袭,搜捕v. 奇袭,搜捕"
rebellious,"a. 造反的,反抗的,难控制的"
recessive,"a. 退行的,逆行的,后退的,隐性的"
repercussion,"n. 弹回,反响,反射"
retirement,"n. 退休,隐居,撤退"
rigor,"n. 严格,严厉,苛刻,精确,严密"
robotics,n. 机器人学
runoff,"n. 流量,决赛,决定性竞选"
scientifically,"ad. 合乎科学地,学问上,有系统地"
scrutiny,"n. 细看,仔细检查,监视,选票的复查"
self-portrait,n. 自画像
seriousness,"n. 1 认真2 严重,重大"
slang,"n. 俚语v.辱骂,用俚语说"
sloth,"n. 怠惰,懒惰"
sophistication,"n. 诡辩,强词夺理,混合"
spacecraft,n. 太空船
thumb,"n. 拇指vt. 以拇指拨弄,笨拙处理"
timeless,"a. 无时间限制的,长期的,永恒的"
tough,"n. 恶棍a. 强硬的,艰苦的,坚强的,强横的"
trader,"n. 商人,商船"
transcend,"vt. 超越,胜过"
trivialize,"vt. 使平凡,使琐碎"
tropic,"n. 回归线,热带a. 热带的"
truffle,"n. 块菌, 松露,松露巧克力糖"
tyrannical,"a. 暴虐的,压制的,残暴的"
unaffiliated,adj. 独立的; 未结合的; 未附属的
unavoidable,"a. 不可避免的,不得已的,不能作废的"
unchecked,a. 未加抑制的a. 未选中的
underbrush,"n. 树林下的草丛,丛林"
uneasy,"a. 不自在的,心神不安的,不稳定的,不舒服的"
unethical,adj. 1 不道德的2卑鄙的
unexpectedly,"adv. 出人意料地,意想不到地,突然"
uniformity,"n. 同样,划一,一致"
unplug,"vt. 拔开,拔栓,拔"
unreasonable,"a. 不合理的,过度的,不切实际的"
upgrade,"n. 升级,上升,上坡ad. 往上vt. 使升级 v. 升级"
uplift,"n. 高扬,道德的向上 vt. 提高,抬起vi. 上升"
empower,"vt. 授予权力,允许,使能够"
enchant,"vt. 施魔法,使迷惑"
enroll,"vt. 登记,使加入vi. 参军,注册"
estimate,"n. 估计,判断vt. 估计,评价,判断vi. 估计"
evaporate,"vi. 蒸发,失去水分,消失vt. 使蒸发"
exclaim,"v. 大叫,呼喊,大声叫"
figurative,"a. 比喻的,形容多的,修饰丰富的"
gullibility,n. 易受骗
hastily,"ad. 匆忙地,急速地,慌张地"
hospitality,"n. 款待,亲切,殷勤"
hypocrite,"n. 伪君子,伪善者"
immoral,"a. 不道德的,邪恶的"
immortality,"n. 不朽,不朽的声名"
impetuous,"a. 冲动的,猛烈的,轻率的,急躁的"
incidentally,"ad. 附随地,偶然,顺便"
infertile,"a. 不肥沃的,不毛的,不结果实的"
jeopardize,"vt. 危害,使受危困,使陷危地"
lavish,"a. 大方的,丰富的,浪费的vt.浪费,滥用,慷慨给予"
miniature,"adj. 微型的,小规模的n. 缩图,微型画"
modesty,"n. 谦逊,质朴,羞怯"
morbid,"a. 不健全的,病态的,疾病的,可怕的"
antiquity,"n. 古老,古代,古代的遗物"
apparatus,"n. 装置,器具,器官"
apprehend,"vt. 理解,忧虑,逮捕vi. 理解"
apprehension,"n. 理解,忧惧,逮捕"
archaic,"a. 已废的,古老的,古代的"
arduous,"a. 费力的,辛勤的,险峻的"
arises,"v. 发生,出现,站立"
ascertain,"vt. 确定,探知"
aspiration,"n. 热望,渴望"
assemble,"vt. 集合,装配vi. 集合"
astound,"vt. 使惊骇,使大吃一惊"
attendance,"n. 出席,照料,出席的人数"
attest,"vi. 证明,作证vt. 为...作证"
authoritative,"a. 权威的,有权威的,命令式的"
barn,n. 谷仓
behold,"vt. 看到,注视vi. 看"
bioluminescence,n. 生物体之发光
blast,"n. 阵,一阵风,爆炸vi. 猛攻,公开批评,枯萎"
bog,n. 沼泽vt. 使陷于泥淖vi. 陷于泥淖
brim,"n. 边,边缘,(河)边vt. 注满,使满溢vi. 满溢"
browse,"v.n. 浏览,吃草,放牧n. 浏览"
constraint,"n. 强制,局促"
constructive,"a. 建设性的,构造上的,作图的"
contentment,n. 满足
contestant,n. 竞争者
continual,"a. 持续不断的,继续的"
continuity,n. 连续性
cord,"n. 绳索,束缚"
cordial,"n. 兴奋剂,补品a. 热忱的,诚恳的,兴奋的"
correctly,v. 改正;订正ad. 正地;正确地;端正地
correlation,"n. 相互关系,相关,关连"
corruption,"n. 腐败,堕落,贪污"
cosmopolitan,"adj.世界主义的,四海为家的n.世界主义者"
countless,"a. 数不尽的,无数的"
crisscross,n. 十字形a. 十字形的ad. 十字形地vi. 交叉往来
crumble,"vi. 崩溃,破碎,灭亡vt. 弄碎n. 面包屑"
cue,"n. 开端,线索,发辫,长队,开始vt. 编发辫"
curator,"n. 1 馆长,主持者2 理事,评议员3 监护人"
deceitful,a. 欺诈的
decent,"a. 有分寸的,得体的,大方的"
deceptive,"a. 迷惑的,虚伪的,欺诈的"
decry,"vt. 责难,诽谤,诋毁"
elbow,"n. 手肘,急弯,扶手v. 用手肘推开,推挤"
embody,"vt. 具体表达,使具体化"
encode,vt. 改为密码
enigma,"n. 谜,不可思议的东西"
enlist,"vt. 征募,参与,谋取vi. 从军,应募,赞助"
entangle,"vt. 使纠缠,卷入,使混乱"
entertainer,"n.表演娱乐节目的人,演艺人员"
ephemeral,"a. 朝生暮死,短命,短暂的"
epilogue,"n. 结语,后记收场白"
equitable,"a. 公平的,公正的"
evade,"v. 规避,逃避,躲避"
excel,"vt. 胜过,优于,擅长vi. 胜过其他"
expressive,a. 表达的
extol,"vt. 颂扬,称赞,吹捧"
facility,"n. 设备,容易,灵巧"
fantasize,vt. 1 想像; 幻想2 使幻想化 
fatal,"a. 致命的,重大的,命运注定的,不幸的"
fiercely,"ad. 猛烈地,厉害地"
fission,"n. 裂开,分裂,分体"
fissure,"n. 裂缝,裂沟v. (使)裂开,(使)分裂"
flagrant,"a. 非常的,不能容忍的,恶名昭著的"
impulsive,"a. 冲动的,受感情驱使的,任性的"
inaccessible,"a. 难接近的,难达到的,难达成的"
inaccuracy,n. 错误
incredulous,"a. 怀疑的,不轻信的"
indigenous,"a. 本土的,土著的,国产的"
indirect,"a. 间接的,次要的,欺骗的"
innocence,"n. 无罪,无知,天真无邪"
innovate,"vi. 改革,创新"
insolence,"n. 傲慢,无礼,傲慢的态度"
intently,"ad. 一心一意地,心无旁物地,专心地"
inter,"vt. 埋葬,葬,埋prep. 在中间"
interviewer,"n. 会见者,面谈者,访问记者"
intrinsic,"a. 本质的,原有的,真正的"
irritate,"vt. 激怒,使发怒,使不舒服,使发炎vi. 引起不快"
irritation,"n. 刺激,烦恼,刺激物"
judicious,"a. 头脑精明的,贤明的,判断正确的"
keen,"a. 锋利的,敏锐的,强烈的n. 唱挽歌,痛哭"
lanai,"n. 凉台,门廊"
leap,"n. 跳跃,剧增,急变,飞跃vi. 跳跃,猛冲vt跃过"
legitimacy,"n. 合法,适法,正当"
levy,"n. 征税,召集,课征vi. 征税vt.征收,发动"
newscaster,"n. 新闻广播员,新闻评论广播员"
nondescript,"a. 莫可名状的,难以区别的,无特征的"
nourishment,"n. 滋养品,养料,营养"
nuance,n. 细微差别
obedience,"n. 服从,顺从,忠实"
oblivious,"a. 易忘的,遗忘的,忘却的,健忘的"
obsess,"vt. 迷住,使困扰"
orchid,"n. 兰花,淡紫色"
outburst,"n. 爆发,突发,破裂"
outlook,"n. 景色,前途,展望"
outright,"a. 率直的,完全的,总共的ad.率直地,立刻地"
overt,"a. 明显的,公然的"
pamper,"vt. 放纵,使吃饱,使过量"
paradigm,"n. 范例,模范,词形变化表"
parenthetical,adj. = parenthetic adv. ~ly
patiently,"adv. 忍耐地; 耐心地,容忍地"
patronage,"n. 赞助,光顾,任免权,保护人的身份"
penchant,"n. [对…的]强烈嗜好,偏好;倾向[for]"
perseverance,"n. 毅力,忍耐,不屈不挠"
persistent,"a. 固执的,坚持的,持续的"
personage,"n. 重要人士,显要,名士"
rarity,"n. 罕有,珍贵,稀薄"
rationalize,"vt. 使合理,合理地处理vi.合理地思考"
reappear,vi. 再出现
recollection,"n. 记忆,回想,回忆"
reconciliation,"n. 和解; 调停; 和谐,一致"
reconnect,vt. 使再接合
recrimination,"n. 揭丑,反责"
refugee,"n. 难民,流亡者"
relentless,"a. 无情的,冷酷的,残酷的"
relic,"n. 神圣的遗物,遗迹,残片,遗风,纪念物"
remainder,"n. 剩余物,其他的人,残余v.廉价出售"
reminder,"n. 提醒的人,暗示"
reminiscence,"n. 回想,回忆,话旧,怀旧,记忆力"
replica,n. 复制品
reprehensible,"a. 应斥责的,应该谴责的"
reprimand,"n. 谴责,惩戒,非难vt. 谴责,惩戒,严责"
repudiate,"vt. 离婚,抛弃,拒绝履行,拒付,拒绝"
respectable,n. 品格高尚的人a. 值得尊重的
retrieve,"vt.弥补,回忆,补偿vi. 找回猎物n"
retrospect,"n. 回顾,追忆,回溯v. 回顾,追忆"
revenue,"n. 收入,岁入,税务局,税收,岁入细目"
spectacle,"n. 值得看的东西,光景,公开展示,场面"
spectator,"n. 观众,目击者,旁观者"
spineless,"a. 无脊椎的,没有骨气的,懦弱的"
spontaneity,"n. 自然发生,自生,自发"
sprint,"n. 短距离赛跑vi. 奋力而跑,冲刺vt. 全速跑过"
stake,"n. 桩,炮烙刑,奖金,赌注vt. 打桩vi. 打赌"
steamship,"n. 汽船,轮船"
stem,"n. 茎,柄,堵塞物,船首vt.装柄于"
sterile,"a. 不毛的,不孕的,无菌的,枯燥的,无效的,贫瘠的"
stroke,"n. 笔画,打,中风,冲程,摩,抚vt.划尾桨,抚"
subdue,"vt. 使服从,压制,克制,抑制"
substantial,"n. 重要部分,本质a. 实质上的,物质的,有内容的"
subversive,"a. 从事颠覆的,破坏性的n. 破坏分子,危险分子"
sully,"vt. 玷污,弄脏n. 污点,脏污"
supporter,"n. 支持者,后盾,伴随者"
symbolize,"vt. 象征,用符号表现vi. 采用象征,使用符号"
tactful,"a. 机智的,老练的,委婉的"
tame,"a. 驯服的,柔顺的,顺从的vt. 驯养"
tangential,"a. 切线的,相切的,正切的,肤浅的"
technically,"ad. 技术上,学术上,专门地"
televise,"v. 广播,播映"
unleash,"vt. 解开...的皮带,解除...的束缚,解放"
unorthodox,"a. 非正统的,异教的"
unsolicited,"adj. 未经同意的,自发的,自我推荐的"
unsure,"a. 不肯定的,不确定的,没有自信的"
unusually,"adv. 1 异常地,特别地2 显著地,非常地"
unwarranted,"a. 未获保证的,无保证的,未获承认的"
unwise,"adj. (文语) 不智的,愚蠢的,轻率的 "
uprise,"n. 升起,起立,上坡,出现vi. 起义,上升,登高"
vacuum,"n. 真空,空间,真空吸尘器a. 真空的,产生真空的"
versatility,"n. 多种变化,多才多艺,变通"
vessel,"n. 船,容器,脉管"
vet,"n. 兽医vi. 当兽医vt. 诊断,检审"
vicious,"a. 邪恶的,堕落的,品性不端的,有错误的,恶性的"
vocalist,"n. 声乐家,歌手"
vulgar,"a. 粗俗的,庸俗的,本土的,通俗的,普通的"
vulnerability,"n. 易受伤,易受责难,弱点"
vulture,"n. 秃鹰,贪婪的人"
waver,"n. 动摇,踌躇,挥动者vi. 摇摆,颤抖,犹豫"
weary,"a. 疲倦的,萎靡的vt. 使疲倦,使厌烦"
worldly,"a. 世间的,世俗的,世上的"
worship,"n. 崇拜,礼拜,尊敬vi. 参加礼拜vt.崇拜"
invariable,"n. 不变的东西,常数a. 不变的,不易的,常数的"
jury,"n. 陪审团,评判委员会,陪审员a. 应急的"
metaphorically,"adv. 用隐喻,比喻地"
metropolitan,"n. 大都市的居民,大主教a大都市的"
monumental,"a. 纪念碑的,作为纪念的,不朽的"
myopic,a. 近视的
nationalism,"n. 民族主义,民族之特性"
neutrality,"n. 中立,不偏不倚,中间状态"
ominous,"a. 恶兆的,不吉利的,预兆的"
opulent,"a. 丰裕的,丰富的,丰饶的"
outrageous,"a. 暴虐的,极无礼的,可恶的"
paradoxically,adv. 似非而是地;自相矛盾地
periodic,"a. 周期的,定期的,循环的,高碘的"
periphery,n. 外围
politely,"ad. 殷勤地,优雅地,委婉地"
ponder,"v. 沉思,考虑"
pragmatist,"n. 实用主义者,爱管闲事的人"
premature,"a. 早熟的,过早的,不按时的n.早产儿"
rancher,n. 大农场经营者
rearrange,"vt. 再排列,重新整理"
reckless,"a. 不注意的,大意的,鲁莽的,不顾后果的"
adventurous,"a. 喜欢冒险的,大胆的,惊险的"
affluence,"n. 富裕,富足,流入"
agitate,"vt. 使摇动,骚动vi. 鼓动"
alacrity,"n. 敏捷,轻快,乐意"
alga,"n. 藻类,海藻"
allegiance,"n. 忠贞,效忠"
alleviate,"vt. 减轻,使缓和"
amphibian,"a. 两栖类的,水陆两用的n.两栖动物,水陆两用飞机"
amplify,"vt. 扩大,详述,使增幅vi. 引伸"
ancestral,"a. 祖先的,祖传的"
ancillary,"a. 补助的,副的"
announcer,"n. 广播员,告知者"
anthropologist,n. 人类学家
anthropology,n. 人类学
antisocial,"a. 非社交的,不擅社交的,反社会的"
appease,"vt. 安抚,缓和,平息,满足"
appraise,"vt. 评价,估价,鉴定"
apprentice,"n. 学徒,生手vt. 使做学徒"
aquatic,"n. 水生动物,水草a.水生的,水中的"
arcane,"a. 神秘的,不可思议的"
argumentative,"a. 好辩的,爱穷根究理的,争论的"
bind,"vt. 绑,约束,包扎,装订vi.凝固,有约束力"
blink,"vi. 眨眼,闪亮vt.眨眼,使闪亮n.瞬间"
blossom,"n. 花,花开的状态,兴旺期vi.开花,兴旺"
bodily,a. 身体的ad. 亲自
brutal,"a. 残忍的,野蛮的,不讲理的"
bubble,"n. 泡沫vi. 冒泡,沸腾vt. 使冒泡,滔滔不绝地说"
bumblebee,n. 大黄蜂
bump,"n. 撞击,肿块vt. 碰撞vi. 撞,颠簸而行"
byproduct,n. 副产品
caffeine,"n. 咖啡因,茶精(兴奋剂)"
calamity,"n. 灾难,不幸事件"
camaraderie,"n. 友情,友爱,同志爱"
camouflage,"vt. 伪装,欺瞒n. 伪装,隐瞒,幌子"
campsite,n. 营地
carelessly,"ad. 不注意地,粗心地"
catalyst,n. 1[化学]触媒2 催化剂3 激发对方的人 
causality,n. 因果关系
charitable,"adj. 慈悲为怀的; 仁慈的,慈善的"
chatter,"n.v. 饶舌,喋喋不休的谈"
chide,"v. 斥责,责骂"
chord,"n. 弦,和音,情绪"
conceit,"n. 自负,空想,狂妄"
condense,"vt. 使浓缩,摘要,缩短vi. 浓缩,凝结"
conditional,"a. 有条件的,假定的"
condor,n. 秃鹰
conducive,"a. 有益于...的,有助于...的,助长的"
confidently,"adv. 信赖地, 安心地"
connoisseur,"n. 鉴识家,鉴定家,内行"
connotation,"n. 含蓄,内涵"
conquer,"vt. 克服,征服,战胜vi. 得胜"
conscientious,"a. 有责任心的,负责的,本着良心的"
considerably,"ad. 非常地,很,颇"
conspicuous,"a. 显著的,显眼的,出众的"
conspire,"vi. 阴谋,协力,共谋vt. 图谋"
constrain,"vt. 强迫,勉强,驱使"
consummate,"vt. 完成,使达到极点a. 无上的,至上的"
contentious,"a. 好争吵的,爱争论的,有异议的"
contrive,"v. 发明,设计,图谋"
converse,"n. 相反的事物,逆向a. 相反的,逆向的vi. 交谈"
copper,"n. 铜,警察"
corrective,"a. 纠正的,改正的,矫正的n. 改善法,矫正物,中和物"
cote,"n. 棚,窝,栏"
descendant,"n. 后裔,传下来的东西a. 传下的,下降的"
despise,vt. 轻视
despondent,"a. 丧气的,失望的,没有精神的"
determinant,"n. 判定,决定因素"
devalue,vt. 1[经济]减低<货币>的价值2降低…的价值
devour,"vt. 吞食,挥霍,吞没"
diagnose,v. 诊断
dictate,"vi. 听写,口述,口授vt.口述,命令n. 命令,指挥"
dignify,"vt. 增威严,使高贵,故作显贵"
disbelieve,"v. 不信,怀疑"
disgrace,"n. 耻辱,不名誉vt. 使耻辱,使失体面"
dishearten,"vt. 使...气馁,使...沮丧"
disparity,n. 不一致
disruptive,"adj. 1 引起瓦解的,破坏性的2由分裂而产生的"
distract,"vt. 转移,分心,使发狂"
docile,"a. 容易教的,温顺的"
dominance,n. 1 优越2 权势; 支配; 优势
dwindle,"vi. 减少,缩小,衰落vt. 使缩小"
eccentricity,"n. 古怪,古怪的行为,怪癖"
elucidate,"vt. 阐明,说明"
emit,"vt. 发出,放射,发行,散发"
fondness,"n. 1 慈爱; 溺爱2[a ~]喜爱,嗜好"
forge,"n. 熔炉,铁工厂vt.打制,锻炼,伪造"
forgo,"vt. 摒绝,放弃"
fortunately,ad. 幸运地
fossilize,"vt. 使成化石,使陈腐vi. 变成化石,变陈腐"
fray,"n. 磨损,打架,争论vt. 使磨损vi. 被磨损"
fugitive,"a. 逃亡的,易变的,无常的n. 逃亡者,亡命者"
functional,a. 功能的
fuse,"n. 保险丝,导火线v. 熔化,融合"
garner,"n. 谷仓,积蓄vt. 储存,贮藏"
genotype,n. 基因型
gently,"ad. 轻轻地,逐渐地"
glacier,n. 冰河
grab,"n. 抓握,掠夺,强占,挖掘机vi.抓取"
gracious,"a. 亲切的,高尚的"
gratification,"n. 使满足之事或物,满足,喜悦"
greed,"n. 贪欲,贪婪"
grocery,n. 食品杂货
groundbreaking,n.  (建筑工程之) 破土 (典礼)
guardian,"n. 监护人,保护人a. 保护的"
habitual,"a. 习惯的,惯常的,平常的"
inclination,"n. 倾向,意愿,倾斜度,点头"
incompetent,"a. 无能力的,无力的,不胜任的n.无能力者"
incongruous,"a. 不协调的,不一致的,前后不一的"
independently,"ad. 独立地,自立地"
indistinct,"a. 不明了的,朦胧的"
indistinguishable,"a. 不能辨别的,不能区别的"
inexplicable,"a. 不能说明的,不能解释的,费解的"
infamous,"a. 无耻的,不名誉的,声名狼藉的"
infancy,"n. 幼年,初期,幼儿期"
ingredient,"n. 成分,因素"
initiate,"n. 入会,开始a. 新加入的vt. 开始,传授"
injunction,"n. 命令,指令,劝告"
innovator,"n. 改革者,刷新者"
inquire,"v. 询问,问明,查究"
inscrutable,"a. 难以了解的,不能预测的"
insecure,"a. 不安全的,不牢靠的,不坚固的,不稳定的"
insensitive,"a. 对...没有感觉的,感觉迟钝的"
insolent,"n. 侮慢无乱的人a. 粗野的,无礼的,侮慢的"
instructive,"a. 有益的,教育性的"
intact,"a. 尚未被人碰过的,原封不动的,完整的"
interracial,"a. 人种间的,人种混合的"
mandatory,"a. 命令的,托管的"
mariner,n. 水手
marsh,"n. 沼泽,湿地a. 沼泽的"
massive,"a. 大而重的,宽大的,宏伟的"
materialistic,"a. 唯物论的,唯物主义的"
maturity,"n. 成熟,完备,到期"
methodical,"a. 有方法的,有系统的"
microbe,"n. 微生物,细菌"
mischievous,"a. 淘气的,有害的,恶作剧的,胡搅的"
mitigate,"vt. 镇静,缓和,减轻"
mob,"n. 暴民,民众,暴徒vt.乱挤,围攻"
moderation,"n. 缓和,适度,温和"
modicum,n. 少量
molecular,"a. 分子的,由分子组成的"
mollusk,n. 亦作 mollusc软体动物
mortality,"n. 必死的命运,死亡数目,死亡率"
musing,"a. 沉思的,冥想的"
mute,"n. 哑巴,弱音器a. 哑的,无声的,沉默的"
naive,"a. 天真的,纯真的,朴素的"
narrowly,adv. 1 狭窄地2 勉强地
nocturnal,"a. 夜的,夜曲的"
pathetic,"a. 悲哀的,可怜的,感伤的"
pave,"vt. 铺设,安排,为...铺路"
peril,"n. 危险,冒险vt. 置...于险境,冒险"
permeate,"vt. 弥漫,渗透,充满vi. 透入"
persistence,"n. 固执,坚持,持续"
pessimistic,"a. 悲观的,厌世的"
petition,"n. 请愿,诉状,陈情书v.请求,恳求,请愿"
physically,ad. 身体上地
pictorial,"a. 绘画的,插图的n. 画报,插图杂志"
picturesque,"a. 生动的,如画的,独特的"
pigeon,n. 鸽子
plausibility,"n. 似有道理,善装门面,善辩"
pliable,"a. 易曲折的,柔软的,圆滑的"
popularly,"ad. 一般地,通俗地,平易地,通过民众"
populate,vt. 1 居住于 <国家、城市等> 2 使人居住于
porch,"n. 门廊,走廊"
postulate,"n. 假定,基本条件vt. 要求,假定vi. 要求"
poverty,"n. 贫穷,贫困,缺乏"
precedent,"n. 先例,前例a. 在先的,在前的"
precursor,"n. 先驱者,前导,先进者"
predicament,"n. 状态,穷境,困局"
redesign,v. 重新设计
rediscover,vt. 再发现
refutation,"n. 反驳,辩驳,反驳的言论或意见"
regional,"a. 地方的,地域性的"
remnant,"n. 剩余,零碎货,遗迹a. 剩余的,残余的"
reproach,"n. 责备,耻辱vt.责备,申斥,使丢脸"
residue,"n. 残渣,剩余,余数"
resignation,"n. 辞职,辞呈,听从"
retail,"n. 零售a. 零售的vt. 零售,转述vi. 零售"
ribbon,"n. 缎带,带状物vt.用丝带装饰vi.形成带状"
rudimentary,adj. 1 基本的，初步的2 未发达的，早期的
scalpel,"n. 小刀,解剖刀vt. 解剖,割"
scarce,"a. 难得的,缺乏的"
scarcely,"ad. 简直不,一定不,仅仅"
scenario,"n. 情节,剧本,方案"
script,"n. 手迹,手稿,副本vt. 改编为演出本"
seafarer,"n. 船员,航海家"
seclude,"vt. 使隔离,使孤立,隔开"
secondary,"a. 中级的,中等的,次要的,辅助的,从属的"
secrecy,"n. 秘密,保密"
segregation,n. 种族隔离
specify,"vt. 叙述,指定,说明v. 指定"
